iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.8020596504211426,-185.32151750333432,101.39222216731497,-92.81758234483148,-729.8406186802748,0.0,0.414162911164034,0.1,0.014349937438964844,0.11948919296264648,0.05419274,0.21863276,-185.32151750333432,-2.8771870223721216,-3.570134161189961,0.0,1724,0.1607036590576172,0.999621009243188,0.9582474604764969,1724,-199.51984443940637,0.0
1,1.7410991191864014,-191.75280177373693,127.98719093958088,-99.10199538671941,-839.7188301062602,0.0,0.535571556036749,0.1,0.005902290344238281,0.12244033813476562,0.044953275,0.15172064,-185.96464593037456,-2.885694470063425,-3.6970695372994116,0.0,1735,0.15916919708251953,0.964594344606261,0.6434988889817984,3459,-229.4020644638631,0.0
2,1.8880939483642578,-210.31642529696933,148.8614539115657,-115.21823585606097,-853.1044852286459,0.0,0.5704032268311893,0.1,0.005817890167236328,0.12275099754333496,0.04945564,0.15944421,-188.39982386703406,-2.9366084278296687,-4.068281339766204,0.0,1824,0.16468596458435059,0.680354130906958,0.41446364530934343,5283,-221.88939197904327,0.0
3,1.7250728607177734,-169.39150233656162,67.38606953573228,-103.21698082285188,-788.5049124775861,0.0,0.5518762869706756,0.1,0.005785465240478516,0.1268310546875,0.05287957,0.1827186,-186.4989917139868,-2.8014596899432056,-3.250078839295997,0.0,1628,0.15663886070251465,0.3777253147764325,0.27588685101436095,6911,-205.80314473085758,0.0
4,1.9207618236541748,-199.2459529880692,141.48884570108376,-94.96612203445062,-837.162160941083,0.0,0.5376833990628049,0.1,0.01656794548034668,0.12029099464416504,0.047667198,0.16663633,-187.77368784139503,-2.8646312044506623,-3.8470970187384075,0.0,1780,0.16635847091674805,0.44001276662667055,0.39468130748307517,8691,-255.17549893893843,0.0
5,1.8109047412872314,-186.28742235989458,109.45553923698301,-118.18833900272816,-805.2696635865072,0.0,0.5446724716110715,0.1,0.005320549011230469,0.12452459335327148,0.05157857,0.17162514,-187.62506129324498,-2.9045097426451227,-3.5895329730712393,0.0,1706,0.14775705337524414,0.36247413952915,0.34265288555097795,10397,-260.92653035919284,0.0
6,1.7252154350280762,-163.6907613598791,52.21585324141032,-107.82314213018074,-621.0543400772273,0.0,0.5102706215895372,0.1,0.018107891082763672,0.1314985752105713,0.051049966,0.19130479,-185.2316312999084,-2.7933439393405437,-3.1363622033013434,0.0,1613,0.1411604881286621,0.22488853036450734,0.19568677155742784,12010,-248.8273786996541,0.0
7,1.7208778858184814,-161.15387095808444,22.092922845298688,-109.508955339169,-233.63432521042162,0.0,0.5373324024730118,0.1,0.03410482406616211,0.12905073165893555,0.051517956,0.22092445,-182.823855265726,-2.77852184170831,-3.085572158897089,0.0,1597,0.14076614379882812,0.1309048780535949,0.12021875145988926,13607,-229.98382280259239,0.0
8,1.7469875812530518,-179.13692536180739,96.28744781549655,-116.8002995320413,-821.2956620725248,0.0,0.5279234734385688,0.1,0.006118297576904297,0.12933588027954102,0.051763657,0.15856956,-182.45516227533415,-2.860640282841477,-3.445025629556637,0.0,1652,0.1529557704925537,0.32683933815375055,0.3043470345561815,15259,-192.70034155058605,0.0
9,1.7594046592712402,-167.80231242874314,80.48294144605867,-106.62009987059416,-741.6448844882526,0.0,0.527810904357206,0.1,0.005725860595703125,0.1247551441192627,0.049530514,0.17582156,-180.98987729067505,-2.778048264064163,-3.2192514804570287,0.0,1634,0.1449899673461914,0.27186151267705916,0.26065240308474286,16893,-193.84344073979696,0.0
10,1.7426445484161377,-167.26887332793854,79.42797281540861,-101.47417887349656,-821.2434121674571,0.0,0.5128902766766913,0.1,0.004318952560424805,0.11178874969482422,0.049158607,0.16370726,-179.61777689440143,-2.797588016393918,-3.2071965826481907,0.0,1625,0.15746808052062988,0.25082169572483026,0.24109306244174808,18518,-164.52990578270155,0.0
11,1.7863121032714844,-156.96576927661508,27.93491717307169,-110.03181746477179,-319.501079745713,0.0,0.5371906531160293,0.1,0.006015777587890625,0.12599420547485352,0.04947535,0.24109788,-177.3525761326228,-2.7434341252648067,-3.002314455399972,0.0,1599,0.13604140281677246,0.1009953308043933,0.08766574368794232,20117,-152.89876912353256,0.0
12,1.7865560054779053,-163.67117638245222,69.36308640749976,-113.83247185689108,-627.9360540859049,0.0,0.5574387960429539,0.1,0.00564885139465332,0.1232609748840332,0.052049156,0.15169983,-175.98443615760576,-2.7824277641839146,-3.1353858679995583,0.0,1643,0.14051198959350586,0.20681997231275598,0.19721381720358833,21760,-167.2574663074397,0.0
13,1.7700190544128418,-162.84480230616768,69.77410233429042,-105.76180005169535,-752.5235254310392,0.0,0.5257860219990037,0.1,0.005629539489746094,0.12493228912353516,0.053256918,0.14060329,-174.67047277246195,-2.771423789282778,-3.118367842042955,0.0,1622,0.14029431343078613,0.2146191442847337,0.20813249902071485,23382,-153.67457446686143,0.0
14,1.7421321868896484,-150.18124310656606,21.433173592202753,-101.86773079798401,-209.19817060106283,0.0,0.5355641851535365,0.1,0.006135225296020508,0.1406843662261963,0.05280856,0.2718872,-172.22154980587237,-2.71626685968965,-2.8665738000426466,0.0,1578,0.13935279846191406,0.0733983291215442,0.05779011587293905,24960,-129.99530512057243,0.0
15,1.7652153968811035,-153.9184405214676,29.209091961851538,-92.5726495485528,-316.0055668830844,0.0,0.5540092680864681,0.1,0.005769968032836914,0.12474608421325684,0.04809623,0.19111024,-170.3912388774319,-2.7154179248012134,-2.9404175051269448,0.0,1628,0.14242315292358398,0.07690615693644,0.07078603928717767,26588,-59.866024495755035,0.0
16,1.778038740158081,-147.54107943547652,22.074386079591953,-88.59411094404615,-213.51411938572332,0.0,0.5252663172163139,0.1,0.004318952560424805,0.10944294929504395,0.051231984,0.24544767,-168.10622293323638,-2.7370715532244283,-2.8136008309302696,0.0,1633,0.14298796653747559,0.05839489954514679,0.05438069183308569,28221,-34.12893295554984,0.0
